Mol1	O=C(Nc1cccc2cccnc12)c1cc(Br)ccc1Br
Mol835	CCOCCC(=O)Nc1cccc2cccnc12
Mol836	O=C(O)c1ccccc1CSc1cccc2cccnc12
Mol837	COc1ccnc2ccccc12
Mol838	O=C(NCc1cccc2cccnc12)c1cccc(Cl)c1
Mol839	BrC(Br)c1ccc2ccccc2n1
Mol840	c1cnc2c(N3CCCC3)cccc2c1
Mol841	N#Cc1cccc2cccnc12
Mol842	O=C(Nc1cccc2cccnc12)c1cc(Br)cnc1O
Mol843	CC(C)(O)CCCNc1cccc2cccnc12
Mol844	Oc1ccccc1CNc1cnc2ccccc2c1
Mol845	CCOc1ccnc2ccccc12
Mol846	NS(=O)c1cccc2cccnc12
Mol847	COCC(=O)Nc1cccc2cccnc12
Mol848	CC1=CCC(c2cccc3cccnc23)=C1C
Mol849	CCCN(CCC)c1ccc2ccccc2n1
Mol850	Oc1ccccc1/C=N/Nc1cccc2cccnc12
Mol851	COc1ccc(C(=O)COc2cccc3cccnc23)cc1
Mol852	CC(=O)Nc1ccncc1N
Mol853	N#Cc1ccc(S(=O)(=O)Nc2cccc3cccnc23)cn1
Mol854	OCC(O)COc1cccc2cccnc12
Mol855	Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol856	CC(O)/C=C/c1ccc2ccccc2n1
Mol857	Cc1ccccc1/C=N/S(=O)(=O)c1cccc2cccnc12
Mol858	C/C=C/C=C/C(=O)Oc1cccc2cccnc12
Mol859	Cl.c1ccc2nc3ccccc3cc2c1
Mol860	C=CCNC(=O)Oc1cccc2cccnc12
Mol861	COc1cccc(Nc2cccc3cccnc23)c1
Mol862	CCc1ccc(Nc2cccc3cccnc23)cc1
Mol863	C=C(C)CSc1cccc2cccnc12
Mol864	C1=C(c2cnc3ccccc3c2)C2CCN1CC2
Mol865	c1ccc(-c2ccc3ccccc3n2)cc1
Mol866	Cc1ccccc1C(=O)Oc1cccc2cccnc12
Mol867	O=C(COc1cccc2cccnc12)Nc1ccccc1
Mol868	O=C(CCl)CSc1cccc2cccnc12
Mol869	CC(C)(C)C(C)(C)C(=O)Nc1cccc2cccnc12
Mol870	Nc1ccc(CNc2cccc3cccnc23)cc1
Mol871	c1ccc(COc2cccc3cccnc23)cc1
Mol872	O=C(Oc1cccc2cccnc12)c1ccccc1Cl
Mol873	O=C(OCc1cccc2cccnc12)c1ccccc1O
Mol874	O=C(c1ccc(C(F)(F)F)cc1)c1cccc2cccnc12
Mol875	CC(C)C(CC(=O)Nc1cccc2cccnc12)c1ccccc1
Mol876	O=C(O)/C=C/c1cccc2cccnc12
Mol877	C=CCOc1cccc2cccnc12
Mol878	C=CC(C(=O)Nc1cccc2cccnc12)C(C)(C)O
Mol879	N#Cc1ccccc1COc1cccc2cccnc12
Mol880	OC/C(F)=C/c1cccc2cccnc12
Mol881	O=C(Nc1ccccc1C(F)(F)F)c1cccc2cccnc12
Mol882	CC(=O)Nc1ccc(C(=O)Nc2cccnc2O)cn1
Mol883	Cc1cccc2ncccc12
Mol884	C/C(=N\Nc1cccc2cccnc12)C(=O)O
Mol885	N#Cc1ccccc1S(=O)(=O)Nc1cccc2cccnc12
Mol886	ON(O)c1ccnc2ccccc12
Mol887	Cc1c(Cl)cccc1C(=O)Nc1cccc2cccnc12
Mol888	O=[N+]([O-])Cc1cccc2cccnc12
Mol889	Cc1nc(N)ccc1-c1cccc2cccnc12
Mol890	N=C(N)COc1cccc2cccnc12
Mol891	c1ccc(Oc2cccc3cccnc23)nc1
Mol892	O=C(O)CCNc1cccc2cccnc12
Mol893	CCc1cccc(C)c1C(=O)Nc1cccc2cccnc12
Mol894	COc1ccccc1NC(=O)CCSc1cccc2cccnc12
Mol895	NCCCOc1cccc2cccnc12
Mol896	CN=c1ccccc(-c2ccc3ccccc3n2)c1O
Mol897	O=Cc1cnc2ccccc2c1
Mol898	CCOc1ccc(C(=O)CSc2cccc3cccnc23)cc1
Mol899	Oc1c(Br)cc(Br)cc1CNc1cccc2cccnc12
Mol900	CC(Cc1ccccc1)C(=O)Nc1cccc2cccnc12
Mol901	Cc1ccc(-c2cnc3ccccc3n2)cc1C
Mol902	CCOS(=O)(=O)c1cccc2cccnc12
Mol903	Brc1cncc(-c2cccc3cccnc23)c1
Mol904	COc1cc(Br)ccc1C(=O)Nc1cccc2cccnc12
Mol905	COc1cccc(-c2cccc3cccnc23)c1
Mol906	Oc1ccc(SCc2cccc3cccnc23)cc1
Mol907	CC(=O)Nc1cccc(C(=O)O)n1
Mol908	COc1cc(NC(C)=O)c2ncccc2c1[N+](=O)[O-]
Mol909	O=C(Nc1cccc2cccnc12)C1=CCCCC1
Mol910	Cc1ccc(-c2cccc3cccnc23)s1
Mol911	N#CCCCOc1cccc2cccnc12
Mol912	O=C(Nc1ccc(Cl)c(Cl)c1)Oc1cccc2cccnc12
Mol913	CSc1ccccc1C(=O)Nc1cccc2cccnc12
Mol914	CC(CCC(=O)Nc1cccc2cccnc12)c1ccccc1Cl
Mol915	Cc1ccc(S(=O)(=O)Nc2ccc3ccccc3n2)cc1
Mol916	NCC(=O)CNC(=O)c1cccc2cccnc12
Mol917	COC(CCCl)CC(=O)Nc1cccc2cccnc12
Mol918	C1=CCN(c2cccc3cccnc23)C1
Mol919	Cc1cc(C(=O)Nc2cccc3cccnc23)cs1
Mol920	O=C(O)CCCC(=O)Nc1cccc2cccnc12
Mol921	COc1ccccc1C(=O)Oc1cccc2cccnc12
Mol922	O/N=N/c1ccc2ccccc2n1
Mol923	NCc1ccc2ccccc2n1
Mol924	CC(CC(=O)Nc1cccc2cccnc12)OC(C)(C)C
Mol925	CC(C)CCC(=O)Nc1cccc2cccnc12
Mol926	Cc1ccc(NC(=O)c2cccc3cccnc23)cc1
Mol927	O=C(O)CCS(=O)(=O)c1cccc2cccnc12
Mol928	COc1cccc(NC(=O)c2cccc3cccnc23)c1
Mol929	Cc1cc(I)c(C)n(-c2cccc3cccnc23)c1=O
Mol930	O=C(Nc1ccc2ccc3cccnc3c2n1)c1ccccc1
Mol931	CC(C)(C(=O)Nc1cccc2cccnc12)C1CCCCC1
Mol932	CNCCOc1cccc2cccnc12
Mol933	CSc1cccc(N(C)C(=N)Nc2cccc3cccnc23)c1
Mol934	c1ccc2nnccc2c1
Mol935	COc1ccc(C)c(C(=O)Nc2cccc3cccnc23)c1C
Mol936	COC(=O)/C(Sc1cccc2cccnc12)=C(/C)O
Mol937	O=C(c1cccs1)c1cccc2cccnc12
Mol938	Oc1ccc(-c2cccc3cccnc23)cc1
Mol939	COc1ccc(OC(=O)Nc2cccc3cccnc23)cc1
Mol940	Oc1cccc2ncccc12
Mol941	O=C(Nc1cnc2ccccc2c1)c1ccccc1
Mol942	C=C(C)CCc1ccccc1C(O)c1cccc2cccnc12
Mol943	C/C=C/C(=O)Oc1cccc2cccnc12
Mol944	O=C(Cc1cccs1)Nc1cccc2cccnc12
Mol945	CC(=O)c1cccc(-c2cnc3ccccc3c2)c1
Mol946	Oc1ccccc1CNc1cccc2cccnc12
Mol947	O=C(Oc1cccc2cccnc12)c1ccc(Br)cc1
Mol948	CCCCC(C)(CC)C(=O)Nc1cccc2cccnc12
Mol949	C=C(C(=O)Nc1cccc2cccnc12)c1ccccc1OC
Mol950	CN(C(=O)Nc1cccc2cccnc12)C1CC1
Mol951	CC(C)=CCCCC(=O)Nc1cccc2cccnc12
Mol952	Clc1ccc(Nc2cccc3cccnc23)cc1
Mol953	CCC(CCNc1cccc2cccnc12)c1ccccc1OC
Mol954	CCCNS(=O)(=O)c1cccc2cccnc12
Mol955	CC(O)(c1ccccc1)c1ccc2ccccc2n1
Mol956	O=C(Oc1cccc2cccnc12)c1ccco1
Mol957	O=P(O)(O)Cc1cccc2cccnc12
Mol958	Cc1cccc(-c2ccc3ccc(C)nc3c2)c1
Mol959	Cc1ccc(-c2ccc3ccc(C)nc3c2)nc1
Mol960	Cc1ccc(C)n1-c1cccc2cccnc12
Mol961	NC(S)=NNc1cccc2cccnc12
Mol962	Fc1ccc(-c2cccc3cccnc23)cc1
Mol963	O=C(Nc1cccc2cccnc12)c1ccc(Br)cn1
Mol964	COc1cccc(/C=N/c2cccc3cccnc23)c1O
Mol965	c1ccc(CSc2cccc3cccnc23)cc1
Mol966	Clc1cccc(Nc2cccc3cccnc23)c1
Mol967	C(=C/c1ccc2ccccc2n1)\c1ccccn1
Mol968	O=C(Nc1cccc2cccnc12)c1c(Cl)cc(Cl)cc1Cl
Mol969	N#Cc1ccnc2ccccc12
Mol970	CC(=O)Nc1ccc2cccnc2c1[N+](=O)[O-]
Mol971	Cc1cc(C)n(-c2ncc3ccccc3n2)n1
Mol972	COc1ccc(-c2cnc3ccccc3c2)nn1
Mol973	C=C(C)CCc1ccccc1C(=O)c1cccc2cccnc12
Mol974	FC(F)(F)C(Nc1cccc2cccnc12)c1ccccn1
Mol975	COC1CC(OC)C1C(=O)Nc1cccc2cccnc12
Mol976	O=C(Nc1cccc2cccnc12)c1ccccc1C(F)(F)F
Mol977	Cc1cc(C)cc(S(=O)(=O)c2cnc3ccccc3n2)c1
Mol978	CN(C(=O)Oc1cccc2cccnc12)c1ccccc1
Mol979	ClC(Cl)(Cl)SOc1cccc2cccnc12
Mol980	O=C(NCc1cccc2cccnc12)c1ccc(Cl)cc1
Mol981	ClCCSc1cccc2cccnc12
Mol982	CCc1nnc(COc2cnc3ccccc3c2)o1
Mol983	CCCC(=O)Nc1cccc2cccnc12
Mol984	CN(C=O)c1cccc2cccnc12
Mol985	C=CCC(C)(C)C(=O)Nc1cccc2cccnc12
Mol986	CCCc1ccc2ccccc2n1
Mol987	COc1ccc(CC(C)C(=O)Nc2cccc3cccnc23)cc1
Mol988	CC(=O)CCC(=O)c1cnc2ccccc2c1
Mol989	ClCCC(Oc1cccc2cccnc12)c1cccs1
Mol990	CC(C)CC(Nc1cccc2cccnc12)C(=O)O
Mol991	Cc1cccc(NC(=O)CSc2cccc3cccnc23)c1
Mol992	Cc1ccc(Br)cc1C(=O)Nc1cccc2cccnc12
Mol993	Cc1ccnc(Nc2ccc3ccccc3n2)c1
Mol994	Cc1ccc2ncc(-c3ccccc3)nc2c1
Mol995	CCCCC(CCl)(CCl)C(=O)Nc1cccc2cccnc12
Mol996	Cc1cccc(C=O)c1-c1cccc2cccnc12
Mol997	N#C/C=C(\Oc1cccc2cccnc12)C1(O)CCCCC1
Mol998	O=S(=O)(/N=C/c1cccnc1)c1cccc2cccnc12
Mol999	O=C(O)C(=O)Nc1cnc2ccccc2c1
Mol1000	c1cnc2c(-c3cc[nH]n3)cccc2c1
Mol1001	CN(c1ccccc1)c1cccc2cccnc12
Mol1002	Cc1cccc(OCC(=O)Nc2cccc3cccnc23)c1C
Mol1003	CC(Br)C(=O)Nc1cccc2cccnc12
Mol1004	CCCCc1ccnc2ccccc12
Mol1005	C#CCNc1cccc2cccnc12
Mol1006	Cc1c(F)cccc1S(=O)(=O)Nc1cccc2cccnc12
Mol1007	Cc1ccc2ccccc2n1
Mol1008	CC(O)c1cnc2ccccc2c1
Mol1009	O=C(Nc1ccccc1)c1cnc2ccccc2c1
Mol1010	Oc1ccc(NCCOc2cccc3cccnc23)cc1
Mol1011	CN(C(=O)c1ccccc1)c1cccc2cccnc12
Mol1012	CC(CC(=O)Nc1cccc2cccnc12)c1ccncc1
Mol1013	FC(F)(F)c1ncc(Oc2cccc3cccnc23)cn1
Mol1014	CC1=C(C)C(C)=C(c2cccc3cccnc23)C1
Mol1015	CSc1ccc2ccccc2n1
Mol1016	Cc1cccc(S(=O)(=O)Nc2cccc3cccnc23)c1
Mol1017	CCOc1ccccc1C(=O)Nc1cccc2cccnc12
Mol1018	Cc1ccc(-c2cc3ccccc3nc2N)cc1
Mol1019	CC(=O)Nc1ccc2c(-c3ccccc3)ccnc2c1O
Mol1020	CC(C)(C)OC(=O)c1cnc2ccccc2c1
Mol1021	NC(=O)COc1cccc2cccnc12
Mol1022	FC(F)(F)c1ccc(Nc2cccc3cccnc23)cc1
Mol1023	CCCCNC(=O)Nc1cccc2cccnc12
Mol1024	Cc1cccc(C(=O)Nc2cnc3ccccc3c2)c1O
Mol1025	c1ccc(-c2ccc3cccnc3c2)cc1
Mol1026	Cc1ccc(C)n(-c2cccc3cccnc23)c1=O
Mol1027	c1ccc2ncc(-c3ccc4ncncc4c3)cc2c1
Mol1028	CC(N)C(=O)Nc1cccc2cccnc12
Mol1029	COc1ccccc1NC(=O)Oc1cccc2cccnc12
Mol1030	COc1ccc(C(=O)Nc2cc(OC)cc3cccnc23)cc1
Mol1031	O=C(Nc1cccc2cccnc12)c1cc(Br)cs1
Mol1032	O=C(CCc1ccccc1I)Nc1cccc2cccnc12
Mol1033	c1ccc(NCCOc2cccc3cccnc23)cc1
Mol1034	CCC(C)Oc1cnc2ccccc2c1
Mol1035	Cc1ccc(C(=O)Nc2cccc3cccnc23)c(I)c1
Mol1036	O=C(O)c1cccc(-c2cccc3cccnc23)c1
Mol1037	COc1ccccc1C(NC(C)=O)c1ccc2cccnc2c1O
Mol1038	O=C(Nc1cccc2cccnc12)C1CCCCC1
Mol1039	Cc1cccc(C)c1Nc1ccc2ccccc2n1
Mol1040	O=C(Oc1cccc2cccnc12)C1CC=CCC1
Mol1041	Brc1ccc(COc2cccc3cccnc23)cc1
Mol1042	CC(=O)Nc1ccccc1NC(=O)c1cccc2ccccc12
Mol1043	O=C(/C=C/c1ccc(F)nc1)Nc1cccc2cccnc12
Mol1044	c1ccc(Sc2cccc3cccnc23)cc1
Mol1045	CCOC(=O)/C=C/c1cccc2cccnc12
Mol1046	COc1ccc(CCNC(=O)Oc2cccc3cccnc23)cc1
Mol1047	COC(OC)C(OC)C(=O)Nc1cccc2cccnc12
Mol1048	C=Cc1ccc(OC)cc1C(=O)Nc1cccc2cccnc12
Mol1049	FC(F)(F)c1cccc2cccnc12
Mol1050	O=C(Nc1cccc2cccnc12)c1cccnc1
Mol1051	O=C(Nc1cccc2cccnc12)c1c(Cl)cccc1Cl
Mol1052	CCC(=O)C(Cc1cccc2cccnc12)C(=O)OC
Mol1053	CCCc1ccc2cccnc2c1
Mol1054	O=C(Nc1ccc(Br)cc1)Oc1cccc2cccnc12
Mol1055	O=C(C(=O)N1CCCCC1)c1cccc2cccnc12
Mol1056	c1cnc2c(C3CO3)cccc2c1
Mol1057	Cc1cccc(F)c1C(=O)Nc1cccc2cccnc12
Mol1058	c1ccc2nc3ccccc3nc2c1
Mol1059	CC(=O)NCCOc1cccc2cccnc12
Mol1060	C(#Cc1cccc2cccnc12)c1ccccc1
Mol1061	CCNC(=O)c1cccc2cccnc12
Mol1062	C=CCOC(=O)c1cccc2cccnc12
Mol1063	O=c1cc(COc2cccc3cccnc23)occ1O
Mol1064	C=CC(C)CC(=O)Nc1cccc2cccnc12
Mol1065	O=C(CCSc1cccc2cccnc12)c1ccccc1
Mol1066	Cc1cc2ccccc2nc1Br
Mol1067	CC(=O)Nc1ccc2c(-c3ccco3)ccnc2c1O
Mol1068	O=C(Nc1cccc2cccnc12)C1CC=CCC1
Mol1069	COc1cc(C)ccc1C(=O)Nc1cccc2cccnc12
Mol1070	CC(C)(O)/C(=C/C#N)Oc1cccc2cccnc12
Mol1071	O=C(OCC1CC1)c1cccc2cccnc12
Mol1072	FC(F)c1ccc2ccccc2n1
Mol1073	O=C(OCc1cccc2cccnc12)C(F)(F)F
Mol1074	O=S(=O)(NCCO)c1cccc2cccnc12
Mol1075	O=C(CBr)Nc1cccc2cccnc12
Mol1076	ClC(Cl)(Cl)c1cnc2ccccc2c1
Mol1077	O=C1CCCCC1CCc1cccc2cccnc12
Mol1078	O=C(O)Cc1cccc2cccnc12
Mol1079	CCOC(=O)CNC(=O)Oc1cccc2cccnc12
Mol1080	Fc1ccc(NCc2cccc3cccnc23)cc1
Mol1081	CC(=O)Nc1ccccc1-c1nc2ccccc2nc1C
Mol1082	COC(=O)CS(=O)(=O)c1cccc2cccnc12
Mol1083	CCOC(=O)CNc1cccc2cccnc12
Mol1084	Cn1cccc1C(=O)Nc1cccc2cccnc12
Mol1085	Oc1ccnc2ccccc12
Mol1086	O=C(Nc1cccc2cccnc12)c1ccccn1
Mol1087	CCCC(C)(C)C(=O)Nc1cccc2cccnc12
Mol1088	COC(=O)CCNc1cccc2cccnc12
Mol1089	COc1ccccc1CC(=O)NCc1cccc2cccnc12
Mol1090	Cc1cnc(C(=O)Nc2cccc3cccnc23)cn1
Mol1091	CC(C)(C)C#CC(=O)c1cccc2cccnc12
Mol1092	CC(C)(CCl)C(=O)Nc1cccc2cccnc12
Mol1093	O=C(O)c1ccc(Cl)cc1Nc1cccc2cccnc12
Mol1094	NCCc1cnc2ccccc2c1
Mol1095	CC(CC(C)(C)C)Oc1cccc2cccnc12
Mol1096	CC(=O)Sc1cccc2cccnc12
Mol1097	Cc1cc2nc3ccccc3nc2cc1C
Mol1098	CC(=O)c1ccnc2ccccc12
Mol1099	Fc1ccc(COc2cccc3cccnc23)cc1
Mol1100	c1cnc2c(CC3CC3)cccc2c1
Mol1101	Oc1ccc(Cl)cc1CNc1cccc2cccnc12
Mol1102	COc1cccc2ncccc12.[H+]
Mol1103	CSc1cccc(C(=O)Nc2cccc3cccnc23)c1
Mol1104	O=C(Nc1c(Cl)cccc1Cl)c1cccc2cccnc12
Mol1105	CC/C=C/c1ccc2ccccc2n1
Mol1106	O=S(=O)(Cl)c1cccc2cccnc12
Mol1107	CC(CCc1ccccc1)Sc1cccc2cccnc12
Mol1108	Cc1ccc2ccc(-c3ccc(C#N)cc3)cc2n1
Mol1109	COc1ccc(NC(C)=O)c2nc(C)c(C)nc12
Mol1110	COCC(C(=O)Nc1cccc2cccnc12)C(C)OC
Mol1111	C/C=C/c1ccc2ccccc2n1
Mol1112	C=CCNC(=S)Nc1cccc2cccnc12
Mol1113	Clc1cc(-c2cccc3cccnc23)ncn1
Mol1114	CCOC(=O)c1cccc2cccnc12
Mol1115	c1ccc2c(Nc3ccc4ccc5cccnc5c4n3)cccc2c1
Mol1116	CC(C)CCOc1cccc2cccnc12
Mol1117	N#CCc1cccc2cccnc12
Mol1118	O=C(Nc1cccc2cccnc12)C(CO)Cc1ccccc1
Mol1119	CC(=O)N(c1cccc2cccnc12)C1CC1
Mol1120	COc1cccc(C(C)CCNc2cccc3cccnc23)c1
Mol1121	Nc1ccc(-c2cccc3cccnc23)c(N)n1
Mol1122	c1ccc(Cc2cccc3ncccc23)cc1
Mol1123	C/C=C\CC(=O)Nc1cccc2cccnc12
Mol1124	CC(=O)Nc1cccc(NC(=O)c2cccc3cccnc23)c1
Mol1125	Cc1ccc(NC(=O)Oc2cccc3cccnc23)cc1
Mol1126	C=CCc1ccccc1C(=O)Nc1cccc2cccnc12
Mol1127	CC(=O)Nc1cc(O)c2cccnc2n1
Mol1128	Cc1cccc(C(=O)Nc2cccc3cccnc23)c1C
Mol1129	CC(=O)Nc1ccncc1NC(C)=O
Mol1130	C=Cc1cccc2cccnc12
Mol1131	CC1CC(C)CN(C(=O)Nc2cccc3cccnc23)C1
Mol1132	Cc1cccc(SC(C)C)c1C(=O)Nc1cccc2cccnc12
Mol1133	CC(C(=O)Nc1cccc2cccnc12)c1ccccc1F
Mol1134	CC(=O)c1ccccc1NCc1cccc2cccnc12
Mol1135	CN1CCN=C1Cc1cnc2ccccc2c1
Mol1136	CN(C)c1cccc2cccnc12
Mol1137	c1cnc2c(-c3ccncc3)cccc2c1
Mol1138	CCOC(CNCc1cccc2cccnc12)OCC
Mol1139	O=C(CSc1cccc2cccnc12)Nc1ccccc1F
Mol1140	C=CCC(=O)Nc1cccc2cccnc12
Mol1141	CN(C)c1ccc(-c2ncc3ccccc3n2)cc1
Mol1142	NC(=O)NNc1cccc2cccnc12
Mol1143	O=C(Nc1cccc2cccnc12)C(Cl)(Cl)Cl
Mol1144	CCOc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol1145	c1ccc2nc3ccccc3cc2c1
Mol1146	O=C(Nc1cccc2cccnc12)C(Cl)Cl
Mol1147	C(=N/c1cnc2ccccc2c1)\c1ccncc1
Mol1148	Fc1ccc(Cc2cccc3cccnc23)cc1
Mol1149	O=C(O)c1ccccc1O.Oc1cccc2cccnc12
Mol1150	Cc1n[nH]c(=O)nc1Nc1cccc2cccnc12
Mol1151	CC(=O)NCc1cccc2cccnc12
Mol1152	ClCCCCOc1cccc2cccnc12
Mol1153	Cc1nc2ccccc2cc1O
Mol1154	CC(=O)Nc1cccnc1NC(=O)c1cccn1C1CC1
Mol1155	COC(=O)C(CC(C)C)Nc1cccc2cccnc12
Mol1156	Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1Cl
Mol1157	CCOC(=O)c1cnc2ccccc2c1
Mol1158	O=S(=O)(O)c1ccc2ncccc2c1
Mol1159	CN(C)c1ccc(-c2ccc3ccccc3n2)cc1
Mol1160	Cc1ccc(/C=N/NC(=O)c2cnc3ccccc3c2)cc1
Mol1161	CCC(C)CNc1cccc2cccnc12
Mol1162	CNC(=O)Oc1cccc2cccnc12
Mol1163	CC(C)Oc1cccc2ncccc12
Mol1164	C=C(C)Cc1ccccc1OC(=O)c1cccc2cccnc12
Mol1165	CCc1ccc(C(=O)Nc2cccc3cccnc23)c(O)c1
Mol1166	O=C(CC(O)c1ccccc1)Nc1cccc2cccnc12
Mol1167	COc1cc(C)c(C(=O)Nc2cccc3cccnc23)cc1OC
Mol1168	CC(C)(C)OC(=O)c1cccc2ncccc12
Mol1169	Nc1nonc1Oc1cccc2cccnc12
Mol1170	CC(C(=O)Nc1cccc2cccnc12)c1cccc(Cl)c1
Mol1171	Cc1nc(Nc2cnc3ccccc3c2)c2nc[nH]c2n1
Mol1172	N#Cc1cccc(C(=O)Nc2cccc3cccnc23)c1
Mol1173	CC(O)C(=O)Nc1cccc2cccnc12
Mol1174	Nc1nccnc1C(=O)Nc1cccc2cccnc12
Mol1175	c1ccc(-c2cccc3cccnc23)cc1
Mol1176	Oc1ccc2ncccc2c1
Mol1177	CC(C)Oc1ccnc2ccccc12
Mol1178	O=C(O)C1CCCC(Oc2cccc3cccnc23)O1
Mol1179	CC1(C)CN(c2cccc3cccnc23)C1=O
Mol1180	Oc1ccccc1C=Nc1cccc2cccnc12
Mol1181	Cc1ccc2ccc(-c3cccc(C(F)(F)F)c3)cc2n1
Mol1182	Fc1cccc(C#Cc2cccc3cccnc23)c1
Mol1183	NC(S)=Nc1cnc2ccccc2c1
Mol1184	O=C(CCc1ccc(Cl)cc1Cl)Nc1cccc2cccnc12
Mol1185	Cc1ccc2ccc(-c3cccc(CO)c3)cc2n1
Mol1186	CC(C)(C)C(CO)C(=O)Nc1cccc2cccnc12
Mol1187	CCC(CC(=O)Nc1cccc2cccnc12)c1ccccc1
Mol1188	CN(C=O)Cc1ccccc1C(=O)Nc1cccc2cccnc12
Mol1189	Cc1cnc2c(c1)C(=O)c1ccccc1-2
Mol1190	CCCCCC(=O)Nc1cccc2cccnc12
Mol1191	COc1cccc(C#Cc2cccc3cccnc23)c1
Mol1192	NS(=O)(=O)c1cccc2cccnc12
Mol1193	CCCc1[nH]c(=O)oc1-c1cccc2cccnc12
Mol1194	c1cnc2c(OCC3CO3)cccc2c1
Mol1195	CC(C)C(Nc1cccc2cccnc12)C(F)(F)F
Mol1196	O=[N+]([O-])c1ccc2cccnc2c1
Mol1197	CCSc1cccc2cccnc12
Mol1198	Oc1ccc(CCNc2cccc3cccnc23)cc1
Mol1199	Cc1ccc(S(=O)(=O)Nc2cccc3cccnc23)c(N)c1
Mol1200	CCOC(=O)C1CCCC(Oc2cccc3cccnc23)O1
Mol1201	COC(=O)c1cccc(CNc2cccc3cccnc23)c1
Mol1202	Cc1cc(C)cc(OCC(=O)Nc2cccc3cccnc23)c1
Mol1203	C=CC(CC)C(=O)Nc1cccc2cccnc12
Mol1204	O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cccc2cccnc12
Mol1205	NNC(=O)COc1cccc2cccnc12
Mol1206	N#C/C=C(\Oc1cccc2cccnc12)c1ccccc1
Mol1207	Cc1ccccc1C(=O)OCc1cccc2cccnc12
Mol1208	N#Cc1ccc(C(=O)NCc2cccc3cccnc23)cc1
Mol1209	O=C(/C=C/c1cccc2cccnc12)c1cc(F)cc(F)c1
Mol1210	Ic1cccc2cccnc12
Mol1211	CC(C)(C)Oc1ccc2ncccc2c1
Mol1212	O=C(Sc1cccc2cccnc12)c1ccccc1
Mol1213	COC(=O)c1ncccc1NC(=O)c1cccc2cccnc12
Mol1214	CC(C)O/N=C/c1cccc2cccnc12
Mol1215	O=C(Nc1cccc2cccnc12)c1c(Cl)cccc1[N+](=O)[O-]
Mol1216	COc1c(Cl)cc(Cl)cc1C(=O)Nc1cccc2cccnc12
Mol1217	Clc1ccc(Cc2cccc3cccnc23)cc1
Mol1218	Cc1ccc(/N=C/c2cccc3cccnc23)c(C)c1
Mol1219	CC(C)C(=O)Nc1cccc2cccnc12
Mol1220	CCC(C)(CC1CC1)C(=O)Nc1cccc2cccnc12
Mol1221	CC(C)(C)OC(=O)c1ccnc2ccccc12
Mol1222	Cc1ccc(C(Nc2cccc3cccnc23)C(F)(F)F)cc1C
Mol1223	Cc1ccc2nc3ccccc3nc2c1
Mol1224	O=C(Oc1cccc2cccnc12)c1ccccc1O
Mol1225	O=C(Nc1ccccc1)c1ccc2cccnc2c1O
Mol1226	O=C(/C=C\Nc1cccc2cccnc12)c1ccc(Cl)cc1
Mol1227	N#Cc1ccc(-c2cccc3cccnc23)cc1
Mol1228	CC(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O
Mol1229	CN(C)CC(=O)Nc1cccc2cccnc12
Mol1230	O=C(Nc1cccc2cccnc12)c1c(F)cc(F)cc1F
Mol1231	FC(F)(F)c1ccc(CNc2cccc3cccnc23)cc1
Mol1232	O=C(COc1ccc(Cl)cc1Cl)Nc1cccc2cccnc12
Mol1233	O=C(Nc1cccc2cccnc12)c1ccsc1
Mol1234	CCOC(=O)Oc1cccc2cccnc12
Mol1235	CC(C)NC(=O)Oc1cccc2cccnc12
Mol1236	O=C(CC1C=CCC1)Nc1cccc2cccnc12
Mol1237	Cc1ccc2ccc(-c3cccc(C#N)c3)cc2n1
Mol1238	CC(=O)Nc1cccc(NC(C)=O)n1
Mol1239	C=C(C)COc1ccccc1C(O)c1cccc2cccnc12
Mol1240	O=S(=O)(Nc1cccc2cccnc12)c1ccccc1
Mol1241	c1cnc2c(Nc3ccnc4ccnn34)cccc2c1
Mol1242	CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34
Mol1243	C=CCNc1cccc2cccnc12
Mol1244	CNc1cccc2cccnc12
Mol1245	CCN(CC)CC(=O)Nc1cccc2cccnc12
Mol1246	O=C(c1ccccc1)c1cccc2ncccc12
Mol1247	O=C(O)C(O)c1cccc2cccnc12
Mol1248	O=C(c1ccc(Br)cc1)c1cccc2cccnc12
Mol1249	O=C(Nc1cccc(Cl)c1)c1cccc2cccnc12
Mol1250	COc1cc(NC(C)=O)c2ncccc2c1NC(C)=O
Mol1251	O=C(Nc1cccc2cccnc12)c1cccc(Cl)c1
Mol1252	C=CC(CC(=O)OCC)C(=O)Nc1cccc2cccnc12
Mol1253	CC(=O)Nc1cnc2ccccc2c1
Mol1254	Cc1cc(Br)ccc1C(=O)Nc1cccc2cccnc12
Mol1255	NC(C(=O)Nc1cccc2cccnc12)c1ccccc1
Mol1256	CC(=O)c1ccc(OCCCOc2cccc3cccnc23)cc1
Mol1257	CC(CNc1cccc2cccnc12)C(=O)O
Mol1258	Cc1cnc(Cl)c(C(=O)Nc2cnc3ccccc3c2)c1
Mol1259	O=C(O)CSc1cccc2cccnc12
